ID,language,q1_rank,q1_text,q2_rank,q2_text,q3_rank,q3_text,q4_rank,q4_text,q5_rank,q5_text
R_4Tx7TNtMtewGM2l,EN,2,test,1,test,3,,4,,5,
R_YXHgmtcyNHUAal3,EN,2,Red tape/bureaucracy,1,Funding,5,,3,Staff or volunteer capacity,4,
R_3lFz8OHeIgDMlRd,EN,1,Paucity or absence of local data on species population numbers,3,"Species habitat needs in the local environment (e.g., species X may have been associated with habitat feature Y in a study from another area, but that species may meet that need through a different habitat type in our local, unstudied, area.)",4,"Disagreement between the findings of scientists/wildlife biologists and ""local knowledge"", which may be dealing with observations at very different spatial and temporal scales. ",5,"Lack of long term data. (e.g., is a 3 year snapshot of declining numbers part of a natural population fluctuation, or signs of a population in decline?)",2,"Big error bars, which come with complex wild populations, big areas, and limited budgets."
R_1OAZjPZAn27mwLl,EN,1,Government will,2,Funding,3,Public participation,4,Maintenance,5,Landowner commitment
R_1Krwz801yWYZU8O,EN,1,funding,2,policy changes,3,urban development,4,,5,
R_31afcOTl8NFEo4D,EN,1,few data regarding distribution of species of concern; especially precise data,2,few data regarding population trends for species of conservation concern,3,poor data regarding trends in habitat quality and quantity,5,lack of knowledge of life history parameters for species of conservation concern,4,poor understanding of threats to species of conservation concern
R_1mJCjRC2HcP7Cgs,EN,3,Direction and magnitude of climate change,5,Availability of government funding,2,Resilience of flora and fauna to stressors,1,"Invasive, non-native species (including pests)",4,Availability of non-governmental funds
R_2EnnPmljjheAdTA,EN,1,How common and widespread a species is in Canada.  My focus is insects as species at risk.,2,"How severe are the threats (habitat change, habitat reduction, pollution (including pesticides) when you focus on a particular species of insects",3,Population trends of insects.  There are few (or no) broad based surveys that are comparable to DFO surveys of marine fish or Breeding Bird Survey or Christmas Bird Counts for birds.,4,"Taxonomic resources for insect taxa.  For some we know a lot about systematics, others, not so much.",5,"How will recovery actions influence population increase.  Specifically involved in recovery for at risk insects in Nova Scotia. Ironically, we know more about maintaining native flowers and how that helps at risk bumble bees, than we do about populations of nest parasites of at risk bees.  "
R_24w7MMkATGocxuy,EN,1,"Impacts from climate change (e.g., high discharge, warm temperatures, low marine productivity, etc.) on salmon populations.",2,Data deficiency in more remote locations or in less commercially-important salmon populations. ,3,"Uncertainty in longterm funding for certain projects (monitoring, habitat restoration, etc.). ",4,"Uncertainty from views of the public and stakeholders. How will First Nations, commercial fishers, recreational anglers or members of the public react to fishery closures?",5,"Uncertainty associated with mitigation measures/actions. Sometimes we aren't sure if implementing mitigation measures (shorter fishing windows, selective gear, fishing in targeted terminal areas to avoid bycatch of stocks of concern, enhancement through hatcheries, habitat restoration, etc.) will actually have benefits to salmon stocks. The natural world can be very unpredictable, especially with climate change. "
R_2ccF9ICIvSfS7eJ,EN,4,Policy and legislation - is this an action that will require extensive permitting and consultation?,1,Resources and capacity - is this an action that can be sustainable long-term with current and projected future resources? ,3,Community - is this an action which will impact relationships with local community or land users?,2,Resources and capacity - is this an action which is too big to take on without adding significant capacity or larger partnerships?,5,"Efficacy and logistics - what is the best, most efficient, cost-effective and practical way to undertake this action to get the desired results?"
R_YbsNiyA6WxSS8X7,EN,1,Political uncertainty on resources dedicated to conservation,2,climate change scenarios/impacts,3,dedicated funding/resources to carry out conservation actions,4,social willingness to conserve more at the expnses of natural resource extraction,,
R_1jrf84gEFuUNfU4,EN,4,"Will it scale up (i.e., can I confidently make the same decision in multiple places)",1,Are the benefits worth the costs (tradeoffs of multiple kinds)?,2,Is doing this better than me doing nothing (and maintaining the status quo)?,3,"What are the socio-political implications of this choice (assuming that I am confident that it's the ""right"" choice ecologically)",5,Is this worth the return on investment?
R_2uQUBGr2zmzWFVz,EN,1,Adapting/responding to climate change impacts on conservation lands,2,"Funding (especially in context of ""trending"" conservation topics)",3,Technology and its ability to fill stewardship needs/conservation gaps,5,Legislative decisions relating to development,4,Legislative decisions relating to species at risk and capacity for enforcement
R_xEO3OOtM4HLk8XD,EN,1,Funding for new projects,2,The level of support from Indigenous communities,,,,,,
R_1K1inaAO36wtxoK,EN,1,Provincial government inaction and lack of support on conservation initiatives,2,Lack of internal capacity to accomplish goals,3,Lack of adequate species observation data coverage across the province upon which to prioritize conservation work,4,Lean practitioner network to find partnerships and/or additional capacity to take on larger conservation projects,,
R_1nUweB5snX6Bw2U,EN,1,Management capacity - Do the land managers I am asking to change behaviour have the tools or time to carry out the change.,2,Willingness - Do the people I'm working with believe in the action I'm suggesting,3,Effectiveness - Is the management decision going to be more effective than other decisions I could make.,4,"Balance - Will the outcome balance societal, environmental, economic values",5,"Resources - Do we have the time, money, expertise in the long-term to carry about the action."
R_2YVYoI8aF8B3D1f,EN,2,Local community/people reactions,5,weather/climactic conditions,4,knowledge on historical/pre-settlers land condition,3,lack of knowledge on species populations/dynamics,1,lack of knowledge of relationships between people or groups
R_1P64o66GETZ0b82,EN,1,Quality of data used to make decisions,3,"Use of standard datasets that represent ""the best available"" in all decision making around a certain topic or theme in conservation ie: governments not wanting to use third party data that will provide them more details about the decision they are trying to make)",5,Ability for all users to correctly interpret data in a standard way to ensure that data/maps/processes are interpreted the same way and understood,4,long-term monitoring (will it be used to monitor the action and the anticipated outcomes),2,Long-term funding/capacity to manage the projects conserved and the actions that are initiated
R_2mAtOSNiYf1doCB,EN,1,"Uncertainty about direction and extent of effects ""in the real world"" (cumulative effects, interactive effects, etc.)",2,"Uncertainty about duration of funding (i.e., difficult to plan more than 1-3 years in advance) ",3,"Uncertainty about government directions, policies, etc., and lack of ethical framework and approach for co-governance with Indigenous communities ",,,,
