StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Ethics,Source1,Source2,Source3,Source4,Source5,Count of Responses,Common_decision,mandates,use_tools,approved_tools,tools_description,autonomy,collaborative_within,collaborative_outside,longterm,shortterm,outside_org,within_org,often_env,often_evidence,often_teammates,often_leaders,often_elected,often_stakeholders,often_funding,impact_env,impact_evidence,impact_teammates,impact_leaders,impact_elected,impact_stakeholders,impact_funding,reduce_uncertainty,organization,org_other,duration,formal_training,training_desc,location,location_other,notes,Unique ID
44907.64,44907.64,IP Address,100,557,TRUE,44907.64,R_YXHgmtcyNHUAal3,anonymous,EN,Yes,Funding,Red tape/bureaucracy,Staff or volunteer capacity,,,3,Riparian area monitoring,Planning and development,No,,,3,About half the time,Sometimes,Always,Sometimes,About half the time,Never,About half the time,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Most of the time,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Clear funding objectives,Municipal agency,,Less than 1 year,No,,Alberta,,No,46447
44908.37,44908.41,IP Address,100,3013,TRUE,44908.41,R_3lFz8OHeIgDMlRd,anonymous,EN,Yes,Paucity or absence of local data on species population numbers,"Big error bars, which come with complex wild populations, big areas, and limited budgets.","Species habitat needs in the local environment (e.g., species X may have been associated with habitat feature Y in a study from another area, but that species may meet that need through a different habitat type in our local, unstudied, area.)","Disagreement between the findings of scientists/wildlife biologists and ""local knowledge"", which may be dealing with observations at very different spatial and temporal scales.","Lack of long term data. (e.g., is a 3 year snapshot of declining numbers part of a natural population fluctuation, or signs of a population in decline?)",5,#NAME?,"I work for a ""delegated administrative organization"" of the government, which means that we are not government employees, but are delegated certain responsibilities to conduct on behalf of the Minister of Environment and Protected Areas. That includes doing on-the-ground habitat work and providing data/research that is used by government biologists to make wildlife management decisions.",No,,,4,Always,Most of the time,Most of the time,About half the time,About half the time,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,"Longer term data sets on wildlife populations and responses to habitat change. More general data over larger areas and longer time frames, as opposed to really great data on a single species in a localized area.","Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",NGO with legislated responsibilities to a provincial government agency.,over 10 years,No,,Alberta,,"My role is largely to make recommendations on decisions, based on the available information, to those who make the ultimate decision.",22544
44909.33,44909.35,IP Address,100,2243,TRUE,44909.35,R_1OAZjPZAn27mwLl,anonymous,EN,Yes,Government will,Funding,Public participation,Maintenance,Landowner commitment,5,"Connecting with landowners for projects on their properties. Proposing and applying for funding for small-scale environmental restoration projects, including tree plantings and creek restoration.","Protecting communities from flooding, increasing biodiversity",Yes,Yes,Project prioritization ranking in database,3,Always,Most of the time,Most of the time,About half the time,About half the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,About half the time,About half the time,Most of the time,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A more informed and on-board government with greater access to funding.,Conservation authority,,1 - 2 years,No,,Ontario,,,76378
44909.34,44909.36,IP Address,100,1450,TRUE,44909.36,R_1Krwz801yWYZU8O,anonymous,EN,Yes,funding,policy changes,urban development,,,3,"Where are priority sites for habitat restoration, who will fund this work, how long should we plan to restore this site (single year vs multi year), how do we increase public awareness about stewardship action","Endangered species act, species at risk act, municipal bylaws, organizational mission/vision",No,,,3,Always,Most of the time,Most of the time,About half the time,About half the time,Sometimes,About half the time,Sometimes,Never,Never,About half the time,About half the time,Always,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,"Securing longer term funding, holding political leaders accountable to environmental committments","Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,1 - 2 years,No,,Ontario,,,58916
44909.37,44909.39,IP Address,100,1382,TRUE,44909.39,R_31afcOTl8NFEo4D,anonymous,EN,Yes,few data regarding distribution of species of concern; especially precise data,few data regarding population trends for species of conservation concern,poor data regarding trends in habitat quality and quantity,poor understanding of threats to species of conservation concern,lack of knowledge of life history parameters for species of conservation concern,5,"I'm on the Committee on the Status of Endangered Wildlife in Canada (COSEWIC), so I'm mainly involved in deciding the legal status of species. I'm also on the working committee for Wild Species, the General Status of Wildlife in Canada (wildspecies.ca). I also assign ranks to species using the NatureServe system both globally and for the Yukon, and I'm on the IUCN species specialist group for bumble bees. In my work for ECCC I also write Recovery Strategies and Management Plans for listed species.",The Species at Risk Act governs my work for the most part.,Yes,Yes,The detailed COSEWIC criteria for assigning Threatened or Endangered status (based on the IUCN criteri); The NatureServe Threats calculator; the NatureServe rank calculator,5,Always,Always,Most of the time,About half the time,Sometimes,Sometimes,Most of the time,Always,Sometimes,About half the time,About half the time,About half the time,Always,Agree,Strongly agree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,"an increase in funding to give better data on trends, distribution, and threats to species of conservation concern",Canadian federal government agency,,over 10 years,No,,Yukon,,,41755
44909.53,44909.54,IP Address,100,682,TRUE,44909.54,R_1mJCjRC2HcP7Cgs,anonymous,EN,Yes,"Invasive, non-native species (including pests)",Resilience of flora and fauna to stressors,Direction and magnitude of climate change,Availability of non-governmental funds,Availability of government funding,5,"Whether to protect a given property for nature conservation via land securement, which land securement tool to use, how to involve Indigenous communities",30% protected area by 2030,No,,,4,Always,Sometimes,Always,Always,Always,Always,Most of the time,About half the time,About half the time,Sometimes,About half the time,Always,Always,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree,,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,3 - 5 years,No,,Ontario,,,46427
44909.55,44909.57,IP Address,100,1093,TRUE,44909.57,R_2EnnPmljjheAdTA,anonymous,EN,Yes,How common and widespread a species is in Canada. My focus is insects as species at risk.,"How severe are the threats (habitat change, habitat reduction, pollution (including pesticides) when you focus on a particular species of insects",Population trends of insects. There are few (or no) broad based surveys that are comparable to DFO surveys of marine fish or Breeding Bird Survey or Christmas Bird Counts for birds.,"Taxonomic resources for insect taxa. For some we know a lot about systematics, others, not so much.","How will recovery actions influence population increase. Specifically involved in recovery for at risk insects in Nova Scotia. Ironically, we know more about maintaining native flowers and how that helps at risk bumble bees, than we do about populations of nest parasites of at risk bees.",5,"Assessment of at risk insects. Through both COSEWIC NS Species at Risk Working Group, all taxa. More involvement in assessment than implementation of recovery through SARA.",SARA and IUCN guidelines on assessing species at risk.,Yes,,IUCN Threats calculator,4,About half the time,Most of the time,Most of the time,About half the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,About half the time,Most of the time,Most of the time,About half the time,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,"Paying more attention to the flora and fauna in our backyard and engaging more people in paying attention to the bugs, birds, and creepy crawlies that are in their backyard.",Other,I work for a university and 'volunteer' in assessment of species at risk and recovery through COSEWIC and NS government arms length committees.,over 10 years,Yes,University administration courses while Dean.,Nova Scotia,,"I answered from perspective that COSEWIC was my organization. Since most of my contributions are through assessment, rather than recovery, some questions were not easily answered.",22802
44909.54,44909.63,IP Address,100,7663,TRUE,44909.63,R_24w7MMkATGocxuy,anonymous,EN,Yes,"Impacts from climate change (e.g., high discharge, warm temperatures, low marine productivity, etc.) on salmon populations.",Data deficiency in more remote locations or in less commercially-important salmon populations.,"Uncertainty in longterm funding for certain projects (monitoring, habitat restoration, etc.).","Uncertainty from views of the public and stakeholders. How will First Nations, commercial fishers, recreational anglers or members of the public react to fishery closures?","Uncertainty associated with mitigation measures/actions. Sometimes we aren't sure if implementing mitigation measures (shorter fishing windows, selective gear, fishing in targeted terminal areas to avoid bycatch of stocks of concern, enhancement through hatcheries, habitat restoration, etc.) will actually have benefits to salmon stocks. The natural world can be very unpredictable, especially with climate change.",5,"How to reduce exploitation rates from fisheries on a particular Pacific salmon stock or how to avoid bycatch of stocks of concern by using mitigation measures (e.g., changing area, timing, or gear type).","Fisheries Act, Wild Salmon Policy, Pacific Salmon Treaty",Yes,Yes,Pacific Salmon Treaty,3,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,About half the time,Sometimes,Sometimes,About half the time,About half the time,About half the time,About half the time,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,More funding which would help with data deficiency.,Canadian federal government agency,,5 - 10 years,No,,British Columbia,,,50295
44909.87,44909.89,IP Address,100,1860,TRUE,44909.89,R_2ccF9ICIvSfS7eJ,anonymous,EN,Yes,Resources and capacity - is this an action that can be sustainable long-term with current and projected future resources?,Resources and capacity - is this an action which is too big to take on without adding significant capacity or larger partnerships?,Community - is this an action which will impact relationships with local community or land users?,Policy and legislation - is this an action that will require extensive permitting and consultation?,"Efficacy and logistics - what is the best, most efficient, cost-effective and practical way to undertake this action to get the desired results?",5,Which restoration and invasive control projects to prioritize. Where and how to implement them. Extent of community engagement for a project. Which SAR recovery actions to prioritize and where they can be implemented.,Conservation of nature and SAR protection is key mandate/goal. Relevant legislation as appropriate to specific projects.,Yes,No,Ontario Invasive Species Landowner Guide prioritization guide. Conservationevidence.org.,3,About half the time,Sometimes,Sometimes,Sometimes,About half the time,About half the time,About half the time,Sometimes,About half the time,Most of the time,About half the time,About half the time,Always,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,More funding and capacity to support long-term and/or large scale actions. Management consulting staff prior to making decisions that impact staff conservation actions undertaken.,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,5 - 10 years,No,,Ontario,,"Decision support tools to reduce uncertainty may be useful for large scale (efficiency) or reducing subjective bias (e.g. leaders may have ""pet projects"" or priorities that receive attention/funding/support when they are not the most objectively beneficial action). Some concern that focus on decision support tools may undervalue or fail to account for site and situation specific knowledge and nuance that many conservation professionals have which may not be captured by broader scale criteria.",64715
44910.62,44910.64,IP Address,100,1037,TRUE,44910.64,R_YbsNiyA6WxSS8X7,anonymous,EN,Yes,Political uncertainty on resources dedicated to conservation,climate change scenarios/impacts,dedicated funding/resources to carry out conservation actions,social willingness to conserve more at the expnses of natural resource extraction,,4,"Using/researching science to focus conservation efforts where needed most; Building trust-based relationships with people (local community, Indigienous nations, industry); Using/researching science to focus restoration efforts on conserved areas; Planning and implementing budgets and projects; how and where to engage in conservation conversations (efficient use of time and resources)","NCC's strategic plan, mission and values, provincial and federal govt legislation, truth and reconciliation calls to action, provinical registered professional association",No,,,3,Always,Most of the time,About half the time,Sometimes,About half the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,About half the time,About half the time,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Social and political willingness to continue with strong conservation actions over a longer time frame than 4 years,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,5 - 10 years,No,,British Columbia,,,66755
