StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Ethics,Source1,Source2,Source3,Source4,Source5,Q1_1,Q1_1_TEXT,Q1_2,Q1_2_TEXT,Q1_3,Q1_3_TEXT,Q1_4,Q1_4_TEXT,Q1_5,Q1_5_TEXT,Q2,Q3,Q3B,Q3C,Q3D,Q4,Q5_1,Q5_2,Q7_1,Q7_2,Q7_3,Q7_4,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q9,Q10,Q10_7_TEXT,Q11,Q31,Q32,Q12,Q12_14_TEXT,Q13,Unique ID
StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Ethics,Source1,Source2,Source3,Source4,Source5,"Thinking about the decisions you make, or help make, about conservation in a professional capacity, what are the major sources of uncertainty you experience? Uncertainty can come from multiple sources, such as the natural world, or social and political processes.



Please enter your sources of uncertainty below and rank them, with one (1) being the most significant source of uncertainty and five (5) being the least significant source of uncertainty. 



There are five options, but you do not have to use all five. Try to be as clear as possible in your answers. - Source","Thinking about the decisions you make, or help make, about conservation in a professional capacity, what are the major sources of uncertainty you experience? Uncertainty can come from multiple sources, such as the natural world, or social and political processes.



Please enter your sources of uncertainty below and rank them, with one (1) being the most significant source of uncertainty and five (5) being the least significant source of uncertainty. 



There are five options, but you do not have to use all five. Try to be as clear as possible in your answers. - Source - Text","Thinking about the decisions you make, or help make, about conservation in a professional capacity, what are the major sources of uncertainty you experience? Uncertainty can come from multiple sources, such as the natural world, or social and political processes.



Please enter your sources of uncertainty below and rank them, with one (1) being the most significant source of uncertainty and five (5) being the least significant source of uncertainty. 



There are five options, but you do not have to use all five. Try to be as clear as possible in your answers. - Source","Thinking about the decisions you make, or help make, about conservation in a professional capacity, what are the major sources of uncertainty you experience? Uncertainty can come from multiple sources, such as the natural world, or social and political processes.



Please enter your sources of uncertainty below and rank them, with one (1) being the most significant source of uncertainty and five (5) being the least significant source of uncertainty. 



There are five options, but you do not have to use all five. Try to be as clear as possible in your answers. - Source - Text","Thinking about the decisions you make, or help make, about conservation in a professional capacity, what are the major sources of uncertainty you experience? Uncertainty can come from multiple sources, such as the natural world, or social and political processes.



Please enter your sources of uncertainty below and rank them, with one (1) being the most significant source of uncertainty and five (5) being the least significant source of uncertainty. 



There are five options, but you do not have to use all five. Try to be as clear as possible in your answers. - Source","Thinking about the decisions you make, or help make, about conservation in a professional capacity, what are the major sources of uncertainty you experience? Uncertainty can come from multiple sources, such as the natural world, or social and political processes.



Please enter your sources of uncertainty below and rank them, with one (1) being the most significant source of uncertainty and five (5) being the least significant source of uncertainty. 



There are five options, but you do not have to use all five. Try to be as clear as possible in your answers. - Source - Text","Thinking about the decisions you make, or help make, about conservation in a professional capacity, what are the major sources of uncertainty you experience? Uncertainty can come from multiple sources, such as the natural world, or social and political processes.



Please enter your sources of uncertainty below and rank them, with one (1) being the most significant source of uncertainty and five (5) being the least significant source of uncertainty. 



There are five options, but you do not have to use all five. Try to be as clear as possible in your answers. - Source","Thinking about the decisions you make, or help make, about conservation in a professional capacity, what are the major sources of uncertainty you experience? Uncertainty can come from multiple sources, such as the natural world, or social and political processes.



Please enter your sources of uncertainty below and rank them, with one (1) being the most significant source of uncertainty and five (5) being the least significant source of uncertainty. 



There are five options, but you do not have to use all five. Try to be as clear as possible in your answers. - Source - Text","Thinking about the decisions you make, or help make, about conservation in a professional capacity, what are the major sources of uncertainty you experience? Uncertainty can come from multiple sources, such as the natural world, or social and political processes.



Please enter your sources of uncertainty below and rank them, with one (1) being the most significant source of uncertainty and five (5) being the least significant source of uncertainty. 



There are five options, but you do not have to use all five. Try to be as clear as possible in your answers. - Source","Thinking about the decisions you make, or help make, about conservation in a professional capacity, what are the major sources of uncertainty you experience? Uncertainty can come from multiple sources, such as the natural world, or social and political processes.



Please enter your sources of uncertainty below and rank them, with one (1) being the most significant source of uncertainty and five (5) being the least significant source of uncertainty. 



There are five options, but you do not have to use all five. Try to be as clear as possible in your answers. - Source - Text","What are the most common types of decisions about conservation you make or take part in as a professional? (For example, Where to locate a protected area; What type of mitigation methods are needed for a given development activity; The extent of community engagement needed on a project).","Briefly, what mandate(s), legislation, or goal(s) guides the decisions you make, or take part in making, as a professional?",Do you use any decision-support tools in your professional capacity?,Are these decision-support tools institutionally approved or created?,What are the tools that you use?,"What is your typical level of decision-making autonomy in your professional role? Please answer to the best of your ability.



One (1) would be ""no autonomy - not involved in the decision-making process"" and five (5) would be ""full autonomy - can make decisions without permission or approval"".","In my opinion, decision-making at my workplace is - Collaborative within my organization","In my opinion, decision-making at my workplace is - Collaborative outside my organization","In my professional capacity, I experience uncertainty when - Making long-term decisions (e.g., > 3 years)","In my professional capacity, I experience uncertainty when - Making short-term decisions (e.g., < = 3 years)","In my professional capacity, I experience uncertainty when - Making decisions with people outside my organization","In my professional capacity, I experience uncertainty when - Making decisions with people within my organization","Thinking about a typical conservation decision you make as a professional, please indicate how often you experience the following types of uncertainty.



I experience uncertainty when considering - The environment (e.g., any physical or ecological aspect of a system)","Thinking about a typical conservation decision you make as a professional, please indicate how often you experience the following types of uncertainty.



I experience uncertainty when considering - The evidence (e.g., existing knowledge on an intervention or management strategy)","Thinking about a typical conservation decision you make as a professional, please indicate how often you experience the following types of uncertainty.



I experience uncertainty when considering - The actions or decisions of teammates, and/or colleagues","Thinking about a typical conservation decision you make as a professional, please indicate how often you experience the following types of uncertainty.



I experience uncertainty when considering - The actions or decisions of leaders of my agency or organization","Thinking about a typical conservation decision you make as a professional, please indicate how often you experience the following types of uncertainty.



I experience uncertainty when considering - The actions or decisions of elected leaders","Thinking about a typical conservation decision you make as a professional, please indicate how often you experience the following types of uncertainty.



I experience uncertainty when considering - The actions or decisions of stakeholders or rightsholders.","Thinking about a typical conservation decision you make as a professional, please indicate how often you experience the following types of uncertainty.



I experience uncertainty when considering - Funding (e.g., availability and timelines)","Thinking about a typical conservation decision you make as a professional, please indicate how these same uncertainty categories impact your ability to make decisions.



The following sources of uncertainty impact my decisions - The environment (e.g., any physical or ecological aspect of a system)","Thinking about a typical conservation decision you make as a professional, please indicate how these same uncertainty categories impact your ability to make decisions.



The following sources of uncertainty impact my decisions - The evidence (e.g., existing knowledge on an intervention or management strategy)","Thinking about a typical conservation decision you make as a professional, please indicate how these same uncertainty categories impact your ability to make decisions.



The following sources of uncertainty impact my decisions - The actions or decisions of teammates, and/or colleagues","Thinking about a typical conservation decision you make as a professional, please indicate how these same uncertainty categories impact your ability to make decisions.



The following sources of uncertainty impact my decisions - The actions or decisions of leaders of my agency or organization","Thinking about a typical conservation decision you make as a professional, please indicate how these same uncertainty categories impact your ability to make decisions.



The following sources of uncertainty impact my decisions - The actions or decisions of elected leaders","Thinking about a typical conservation decision you make as a professional, please indicate how these same uncertainty categories impact your ability to make decisions.



The following sources of uncertainty impact my decisions - The actions or decisions of stakeholders or rightsholders.","Thinking about a typical conservation decision you make as a professional, please indicate how these same uncertainty categories impact your ability to make decisions.



The following sources of uncertainty impact my decisions - Funding (e.g., availability and timelines)","In your opinion, what actions or changes would reduce the degree of uncertainty you experience in your conservation decision-making process?",Which organization do you work with? - Selected Choice,Which organization do you work with? - Other - Text,How long have you worked with this organization?,"Do you have any formal training (e.g., academic course work, graduate thesis, professional development) in decision support and/or uncertainty?",Please briefly describe this training,What province or territory do you work in? Please choose all that apply. - Selected Choice,What province or territory do you work in? Please choose all that apply. - Other - Text,Is there anything else you would like to add?,Unique ID
44907.63678,44907.64324,IP Address,100,557,True,44907.64326,R_YXHgmtcyNHUAal3,anonymous,EN,Yes,Funding,Red tape/bureaucracy,Staff or volunteer capacity,na,na,2,Red tape/bureaucracy,1,Funding,5,,3,Staff or volunteer capacity,4,,Riparian area monitoring ,Planning and development ,No,,,3,About half the time,Sometimes,Always,Sometimes,About half the time,Never,About half the time,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Most of the time,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Clear funding objectives,Municipal agency,,Less than 1 year,No,,Alberta,,No,46447
44908.37053,44908.40542,IP Address,100,3013,True,44908.40543,R_3lFz8OHeIgDMlRd,anonymous,EN,Yes,Paucity or absence of local data on species population numbers,"Big error bars, which come with complex wild populations, big areas, and limited budgets.","Species habitat needs in the local environment (e.g., species X may have been associated with habitat feature Y in a study from another area, but that species may meet that need through a different habitat type in our local, unstudied, area.)","Disagreement between the findings of scientists/wildlife biologists and ""local knowledge"", which may be dealing with observations at very different spatial and temporal scales. ","Lack of long term data. (e.g., is a 3 year snapshot of declining numbers part of a natural population fluctuation, or signs of a population in decline?)",1,Paucity or absence of local data on species population numbers,3,"Species habitat needs in the local environment (e.g., species X may have been associated with habitat feature Y in a study from another area, but that species may meet that need through a different habitat type in our local, unstudied, area.)",4,"Disagreement between the findings of scientists/wildlife biologists and ""local knowledge"", which may be dealing with observations at very different spatial and temporal scales. ",5,"Lack of long term data. (e.g., is a 3 year snapshot of declining numbers part of a natural population fluctuation, or signs of a population in decline?)",2,"Big error bars, which come with complex wild populations, big areas, and limited budgets.","- Assessing the sustainability of current wildlife harvest regulations and quotas.
- Understanding social aspects of public support for hunting/fishing and, therefore, the sustainability of conservation funding that comes from licence sales for those activities.","I work for a ""delegated administrative organization"" of the government, which means that we are not government employees, but are delegated certain responsibilities to conduct on behalf of the Minister of Environment and Protected Areas. That includes doing on-the-ground habitat work and providing data/research that is used by government biologists to make wildlife management decisions. ",No,,,4,Always,Most of the time,Most of the time,About half the time,About half the time,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,"Longer term data sets on wildlife populations and responses to habitat change. More general data over larger areas and longer time frames, as opposed to really great data on a single species in a localized area.",Other,NGO with legislated responsibilities to a provincial government agency.,over 10 years,No,,Alberta,,"My role is largely to make recommendations on decisions, based on the available information, to those who make the ultimate decision. ",22544
44909.32715,44909.35313,IP Address,100,2243,True,44909.35313,R_1OAZjPZAn27mwLl,anonymous,EN,Yes,Government will,Funding,Public participation,Maintenance,Landowner commitment,1,Government will,2,Funding,3,Public participation,4,Maintenance,5,Landowner commitment,"Connecting with landowners for projects on their properties. Proposing and applying for funding for small-scale environmental restoration projects, including tree plantings and creek restoration.","Protecting communities from flooding, increasing biodiversity",Yes,Yes,Project prioritization ranking in database,3,Always,Most of the time,Most of the time,About half the time,About half the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,About half the time,About half the time,Most of the time,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A more informed and on-board government with greater access to funding.,Conservation authority,,1 - 2 years,No,,Ontario,,,76378
44909.34372,44909.3605,IP Address,100,1450,True,44909.36052,R_1Krwz801yWYZU8O,anonymous,EN,Yes,funding,policy changes,urban development,na,na,1,funding,2,policy changes,3,urban development,4,,5,,"Where are priority sites for habitat restoration, who will fund this work, how long should we plan to restore this site (single year vs multi year), how do we increase public awareness about stewardship action","Endangered species act, species at risk act, municipal bylaws, organizational mission/vision",No,,,3,Always,Most of the time,Most of the time,About half the time,About half the time,Sometimes,About half the time,Sometimes,Never,Never,About half the time,About half the time,Always,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,"Securing longer term funding, holding political leaders accountable to environmental committments","Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,1 - 2 years,No,,Ontario,,,58916
44909.37301,44909.389,IP Address,100,1382,True,44909.38903,R_31afcOTl8NFEo4D,anonymous,EN,Yes,few data regarding distribution of species of concern; especially precise data,few data regarding population trends for species of conservation concern,poor data regarding trends in habitat quality and quantity,poor understanding of threats to species of conservation concern,lack of knowledge of life history parameters for species of conservation concern,1,few data regarding distribution of species of concern; especially precise data,2,few data regarding population trends for species of conservation concern,3,poor data regarding trends in habitat quality and quantity,5,lack of knowledge of life history parameters for species of conservation concern,4,poor understanding of threats to species of conservation concern,"I'm on the Committee on the Status of Endangered Wildlife in Canada (COSEWIC), so I'm mainly involved in deciding the legal status of species. I'm also on the working committee for Wild Species, the General Status of Wildlife in Canada (wildspecies.ca). I also assign ranks to species using the NatureServe system both globally and for the Yukon, and I'm on the IUCN species specialist group for bumble bees. In my work for ECCC I also write Recovery Strategies and Management Plans for listed species.",The Species at Risk Act governs my work for the most part. ,Yes,Yes,The detailed COSEWIC criteria for assigning Threatened or Endangered status (based on the IUCN criteri); The NatureServe Threats calculator; the NatureServe rank calculator,5,Always,Always,Most of the time,About half the time,Sometimes,Sometimes,Most of the time,Always,Sometimes,About half the time,About half the time,About half the time,Always,Agree,Strongly agree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,"an increase in funding to give better data on trends, distribution, and threats to species of conservation concern",Canadian federal government agency,,over 10 years,No,,Yukon,,,41755
44909.53308,44909.54098,IP Address,100,682,True,44909.541,R_1mJCjRC2HcP7Cgs,anonymous,EN,Yes,"Invasive, non-native species (including pests)",Resilience of flora and fauna to stressors,Direction and magnitude of climate change,Availability of non-governmental funds,Availability of government funding,3,Direction and magnitude of climate change,5,Availability of government funding,2,Resilience of flora and fauna to stressors,1,"Invasive, non-native species (including pests)",4,Availability of non-governmental funds,"Whether to protect a given property for nature conservation via land securement, which land securement tool to use, how to involve Indigenous communities",30% protected area by 2030,No,,,4,Always,Sometimes,Always,Always,Always,Always,Most of the time,About half the time,About half the time,Sometimes,About half the time,Always,Always,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree,,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,3 - 5 years,No,,Ontario,,,46427
44909.55436,44909.56703,IP Address,100,1093,True,44909.56704,R_2EnnPmljjheAdTA,anonymous,EN,Yes,How common and widespread a species is in Canada.  My focus is insects as species at risk.,"How severe are the threats (habitat change, habitat reduction, pollution (including pesticides) when you focus on a particular species of insects",Population trends of insects.  There are few (or no) broad based surveys that are comparable to DFO surveys of marine fish or Breeding Bird Survey or Christmas Bird Counts for birds.,"Taxonomic resources for insect taxa.  For some we know a lot about systematics, others, not so much.","How will recovery actions influence population increase.  Specifically involved in recovery for at risk insects in Nova Scotia. Ironically, we know more about maintaining native flowers and how that helps at risk bumble bees, than we do about populations of nest parasites of at risk bees.  ",1,How common and widespread a species is in Canada.  My focus is insects as species at risk.,2,"How severe are the threats (habitat change, habitat reduction, pollution (including pesticides) when you focus on a particular species of insects",3,Population trends of insects.  There are few (or no) broad based surveys that are comparable to DFO surveys of marine fish or Breeding Bird Survey or Christmas Bird Counts for birds.,4,"Taxonomic resources for insect taxa.  For some we know a lot about systematics, others, not so much.",5,"How will recovery actions influence population increase.  Specifically involved in recovery for at risk insects in Nova Scotia. Ironically, we know more about maintaining native flowers and how that helps at risk bumble bees, than we do about populations of nest parasites of at risk bees.  ","Assessment of at risk insects.  Through both COSEWIC NS Species at Risk Working Group, all taxa.  More involvement in assessment than implementation of recovery through SARA.",SARA and IUCN guidelines on assessing species at risk.,Yes,,IUCN Threats calculator,4,About half the time,Most of the time,Most of the time,About half the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,About half the time,Most of the time,Most of the time,About half the time,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,"Paying more attention to the flora and fauna in our backyard and engaging more people in paying attention to the bugs, birds, and creepy crawlies that are in their backyard.",Other,I work for a university and 'volunteer' in assessment of species at risk and recovery through COSEWIC and NS government arms length committees.,over 10 years,Yes,University administration courses while Dean.,Nova Scotia,,"I answered from perspective that COSEWIC was my organization.  Since most of my contributions are through assessment, rather than recovery, some questions were not easily answered.",22802
44909.53801,44909.6267,IP Address,100,7663,True,44909.62672,R_24w7MMkATGocxuy,anonymous,EN,Yes,"Impacts from climate change (e.g., high discharge, warm temperatures, low marine productivity, etc.) on salmon populations.",Data deficiency in more remote locations or in less commercially-important salmon populations. ,"Uncertainty in longterm funding for certain projects (monitoring, habitat restoration, etc.). ","Uncertainty from views of the public and stakeholders. How will First Nations, commercial fishers, recreational anglers or members of the public react to fishery closures?","Uncertainty associated with mitigation measures/actions. Sometimes we aren't sure if implementing mitigation measures (shorter fishing windows, selective gear, fishing in targeted terminal areas to avoid bycatch of stocks of concern, enhancement through hatcheries, habitat restoration, etc.) will actually have benefits to salmon stocks. The natural world can be very unpredictable, especially with climate change. ",1,"Impacts from climate change (e.g., high discharge, warm temperatures, low marine productivity, etc.) on salmon populations.",2,Data deficiency in more remote locations or in less commercially-important salmon populations. ,3,"Uncertainty in longterm funding for certain projects (monitoring, habitat restoration, etc.). ",4,"Uncertainty from views of the public and stakeholders. How will First Nations, commercial fishers, recreational anglers or members of the public react to fishery closures?",5,"Uncertainty associated with mitigation measures/actions. Sometimes we aren't sure if implementing mitigation measures (shorter fishing windows, selective gear, fishing in targeted terminal areas to avoid bycatch of stocks of concern, enhancement through hatcheries, habitat restoration, etc.) will actually have benefits to salmon stocks. The natural world can be very unpredictable, especially with climate change. ","How to reduce exploitation rates from fisheries on a particular Pacific salmon stock or how to avoid bycatch of stocks of concern by using mitigation measures (e.g., changing area, timing, or gear type). ","Fisheries Act, Wild Salmon Policy, Pacific Salmon Treaty",Yes,Yes,Pacific Salmon Treaty ,3,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,About half the time,Sometimes,Sometimes,About half the time,About half the time,About half the time,About half the time,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,More funding which would help with data deficiency. ,Canadian federal government agency,,5 - 10 years,No,,British Columbia,,,50295
44909.86786,44909.8894,IP Address,100,1860,True,44909.88942,R_2ccF9ICIvSfS7eJ,anonymous,EN,Yes,Resources and capacity - is this an action that can be sustainable long-term with current and projected future resources? ,Resources and capacity - is this an action which is too big to take on without adding significant capacity or larger partnerships?,Community - is this an action which will impact relationships with local community or land users?,Policy and legislation - is this an action that will require extensive permitting and consultation?,"Efficacy and logistics - what is the best, most efficient, cost-effective and practical way to undertake this action to get the desired results?",4,Policy and legislation - is this an action that will require extensive permitting and consultation?,1,Resources and capacity - is this an action that can be sustainable long-term with current and projected future resources? ,3,Community - is this an action which will impact relationships with local community or land users?,2,Resources and capacity - is this an action which is too big to take on without adding significant capacity or larger partnerships?,5,"Efficacy and logistics - what is the best, most efficient, cost-effective and practical way to undertake this action to get the desired results?",Which restoration and invasive control projects to prioritize. Where and how to implement them. Extent of community engagement for a project. Which SAR recovery actions to prioritize and where they can be implemented. ,Conservation of nature and SAR protection is key mandate/goal. Relevant legislation as appropriate to specific projects. ,Yes,No,Ontario Invasive Species Landowner Guide prioritization guide. Conservationevidence.org.,3,About half the time,Sometimes,Sometimes,Sometimes,About half the time,About half the time,About half the time,Sometimes,About half the time,Most of the time,About half the time,About half the time,Always,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,More funding and capacity to support long-term and/or large scale actions. Management consulting staff prior to making decisions that impact staff conservation actions undertaken. ,"Non-government agency (e.g., Nature Conservancy Canada, Ducks Unlimited Canada)",,5 - 10 years,No,,Ontario,,"Decision support tools to reduce uncertainty may be useful for large scale (efficiency) or reducing subjective bias (e.g. leaders may have ""pet projects"" or priorities that receive attention/funding/support when they are not the most objectively beneficial action). Some concern that focus on decision support tools may undervalue or fail to account for site and situation specific knowledge and nuance that many conservation professionals have which may not be captured by broader scale criteria. ",64715
